Borough,Name,Latitude,Longitude,Cluster Labels,Status
Bronx,Fordham,40.86099679638654,-73.89642655981623,1.0,Closed
Brooklyn,Greenpoint,40.7302009848647,-73.95424093127394,1.0,Closed
Brooklyn,Brooklyn Heights,40.69586372272408,-73.99378225496423,1.0,Closed
Brooklyn,Carroll Gardens,40.68054023107649,-73.99465372828006,0.0,Closed
Brooklyn,Clinton Hill,40.69322942188151,-73.96784306216367,1.0,Closed
Brooklyn,Downtown,40.69084402109802,-73.98346337431099,1.0,Closed
Brooklyn,East Williamsburg,40.70849241041548,-73.93885815269195,1.0,Closed
Brooklyn,North Side,40.714822906532014,-73.95880857587582,1.0,Open
Brooklyn,South Side,40.71086147265064,-73.95800095153331,1.0,Closed
Manhattan,Chinatown,40.71561842231432,-73.99427936255978,1.0,Closed
Manhattan,Washington Heights,40.851902525553044,-73.93690027985234,1.0,Closed
Manhattan,Inwood,40.86768396449915,-73.92121042203897,1.0,Closed
Manhattan,Lenox Hill,40.76811265828733,-73.9588596881376,1.0,Closed
Manhattan,Upper West Side,40.787657998534854,-73.97705923630603,1.0,Closed
Manhattan,Lincoln Square,40.773528889421655,-73.98533777001262,0.0,Closed
Manhattan,Clinton,40.75910089146212,-73.99611936309479,0.0,Closed
Manhattan,Midtown,40.754691102706225,-73.98166882730305,1.0,Open
Manhattan,Murray Hill,40.748303077252174,-73.97833207924127,3.0,Closed
Manhattan,Chelsea,40.744034706747975,-74.00311633472813,1.0,Closed
Manhattan,Greenwich Village,40.72693288536128,-73.99991402945902,0.0,Closed
Manhattan,East Village,40.727846777270244,-73.98222616506415,1.0,Closed
Manhattan,Tribeca,40.721521967443216,-74.01068328559087,2.0,Rebrand
Manhattan,Little Italy,40.71932379395907,-73.99730467208073,1.0,Closed
Manhattan,Soho,40.72218384131794,-74.0006566695976,1.0,Closed
Manhattan,West Village,40.73443393572435,-74.00617998126813,0.0,Closed
Manhattan,Gramercy,40.737209832715,-73.98137594833541,2.0,Closed
Manhattan,Battery Park City,40.71193198394565,-74.01686930508617,2.0,Closed
Manhattan,Financial District,40.707107107270474,-74.01066544521271,2.0,Closed
Queens,Woodside,40.746349088602216,-73.90184166838284,1.0,Closed
Queens,Long Island City,40.75021734610528,-73.93920223915505,2.0,Closed
Queens,Murray Hill,40.764126122614066,-73.81276269135866,3.0,Closed
Staten Island,Chelsea,40.594726027462954,-74.18956045519691,1.0,Closed
Manhattan,Carnegie Hill,40.782682567125704,-73.95325646837112,2.0,Closed
Manhattan,Noho,40.72325901885768,-73.98843368023597,1.0,Closed
Manhattan,Civic Center,40.71522892046282,-74.00541529873355,0.0,Closed
Manhattan,Midtown South,40.7485096643122,-73.98871313285247,3.0,Closed
Manhattan,Sutton Place,40.760280331313744,-73.96355614094303,1.0,Closed
Queens,Hunters Point,40.743414090073536,-73.95386782130745,1.0,Closed
Manhattan,Turtle Bay,40.752042369507215,-73.96770824581834,2.0,Closed
Manhattan,Flatiron,40.73967304763842,-73.99094710528259,1.0,Closed
Brooklyn,Fulton Ferry,40.70328109093014,-73.99550751888415,2.0,Closed
Brooklyn,Dumbo,40.703176328226924,-73.98875280745041,2.0,Closed
Manhattan,Ikinari Steak 5th Ave,40.7568718,-73.98042535,1.0,Open
Manhattan,Ikinari Steak Bleecker St,40.7293546170029,-74.0013773167066,0.0,Closed
Manhattan,Ikinari Steak Broadway,40.76453660000001,-73.9833266,0.0,Rebrand
Manhattan,Ikinari Steak Chelsea 7th Ave,40.74191605,-73.9976050243652,2.0,Rebrand
Manhattan,Ikinari Steak Chelsea 8th Ave,40.7401797,-74.00197209999997,1.0,Closed
Manhattan,Ikinari Steak East Village,40.7308064,-73.9897265,1.0,Open
Manhattan,Ikinari Steak Lexington Ave,40.77071705,-73.961705564726,0.0,Closed
Manhattan,Ikinari Steak Madison Ave,40.7517813,-73.97933661104541,2.0,Closed
Manhattan,Ikinari Steak Park Ave,40.74489370000001,-73.98261740000002,3.0,Closed
Manhattan,Ikinari Steak Times Square,40.7606384,-73.99039509999999,1.0,Open
Manhattan,Ikinari Steak Upper West,40.7843033333333,-73.9797676666667,1.0,Closed
